near_spot,category,name_ja,specialty,price_range,location,distance_note,hours,notes,source_url
高松市中心,海鮮,舟忠,瀬戸内海鮮刺身盛合わせ・骨付鶏,約¥4000/人,JR高松駅内（クレメントイン高松1F）,JR高松駅 徒歩1分,17:00-24:00（L.O.23:00）,開到深夜方便晚歸,https://www.hotpepper.jp/strJ001203849/
高松市中心,海鮮,わらじろ,瀬戸内海鮮居酒屋,中價位,高松市西の丸町5-8,JR高松駅 徒歩2分,月-土17:00-23:00／日祝17:00-22:00,連鎖平價海鮮居酒屋,https://warajiro.owst.jp/
高松市中心,海鮮,瀬戸内味処 活,活け造り（現宰生魚片）・季節河豚,2h飲放課程約¥5000起,高松市亀井町11-3,瓦町駅 徒歩6分,晚餐時間未完全確認・建議電話087-833-8955,店内生簀，現場宰殺,https://www.setokatu.com/
高松市中心,海鮮,古今,割烹style瀬戸内魚・香川地酒,¥6000-7999/人,瓦町駅周辺,瓦町駅 徒歩5分,17:30-22:30（L.O.22:00）,週一公休,https://www.takamatsu-kokon.com/
高松市中心,海鮮,すけ成,鯛魚活魚池・舟盛套餐,宴席型課程,瓦町駅周辺,瓦町駅附近,17:00-23:00（L.O.22:30）,通常週日祝日公休,http://sukenari.info/
高松市中心,拉麵,中華そば 木具屋 高松店,徳島風白湯醬油拉麵,約¥800-1000,高松市古馬場町9-24,瓦町駅周辺,月-土20:30-翌3:30（週日公休）,適合宵夜・深夜營業,https://www.hotpepper.jp/strJ004026260/
高松市中心,拉麵,王龍ラーメン 高松瓦町店,醬油/豚骨拉麵＋自家製泡菜,約¥700-900,瓦町駅周辺,瓦町駅 徒歩5分内,月-土18:00-翌4:00／日祝18:00-翌2:30,深夜營業選項,https://www.cookdoor.jp/dtl/00000000000080137710/
高松市中心,拉麵,六合ラーメン,鶏そば・豚骨醬油等6種口味,平價,高松市瓦町2-2-33,瓦町駅西出口 徒歩約3分,24小時營業,2024/8開業・含朝ラーメン,https://nicetown.co.jp/gourmet/85858/
高松市中心,拉麵,よーい・ドン,老字號中華そば,平價,兵庫町商店街内,JR高松駅・瓦町駅皆可步行,月-金11:30-13:00,17:00-23:00（週末通常公休）,商店街內老店,https://kagawa-koneta.jp/wp/?p=544
高松市中心,拉麵,明神そば,雞肉海鮮蔬菜複合高湯拉麵,標準拉麵價位,高松市円座町,市中心外・需搭車或計程車,11:00-15:00,17:30-22:00（週一公休）,在地人氣老店・非深夜,https://ameblo.jp/takamatsu1001/entry-12655553945.html
高松市中心,拉麵,ANTI NOODLE,海鮮豚骨＋鶏白湯創作拉麵,標準拉麵價位,高松市木太町,市中心外・需搭車,11:00-14:30,18:00-21:00（週四公休）,創作系10種以上口味・非深夜,https://tanosu-kagawa.com/gourmet/156720/
高松市中心,迴轉壽司,瀬戸の祭寿し 兵庫町店,香川在地連鎖・¥100起・瀬戸內海鮮,¥1000-3999,高松市兵庫町11-5,JR高松駅0.6km／瓦町駅0.83km,11:00-22:00・無公休,離兩站都近，兵庫町商店街内,https://r.gnavi.co.jp/m9bejmdg0000/
高松市中心,迴轉壽司,立喰い寿司 七幸,站立式・23年老店・大名巻き招牌,午餐<¥999／晚餐¥2000-2999,TAKAMATSU ORNE南館2F,JR高松駅共構,10:30-21:00（L.O.20:30）,車站直結最方便,https://www.sakana-no-kai.com/media/tachiguishushi250430/
高松市中心,迴轉壽司,はま寿司/くら寿司/スシロー,連鎖平價迴轉壽司,¥100-500/盤,松島町周辺,離中心約20-26分走路,標準連鎖營業時間,較遠需搭車或電車,https://maps.hama-sushi.co.jp/jp/detail/5375.html
高松市中心,燒烤,ぴこぴこ精肉店 瓦町,宮崎牛整隻採購・包廂制,課程¥3500起,瓦町2-10-18,瓦町駅 徒歩4分,詳細未確認,✅無煙ロースター每室皆有，同時符合無煙需求,https://s563500.gorp.jp/
高松市中心,燒烤,個室焼肉 李久,A5オリーブ牛（讃岐橄欖和牛）全包廂,課程¥5500-8800,高松市木太町4062-5,木太東口駅 徒歩2分,週一~三/五~日17:00-23:00（週四休）,無煙標示未載明,https://www.hotpepper.jp/strJ001234346/course_cnod01/
高松市中心,燒烤,焼肉 一牛家,ステーキハウス一牛姊妹店・オリーブ和牛専門・生ユッケ,晚餐¥5000-5999,高松市仏生山町,離瓦町駅約15-20分（非徒歩圈）,肉品售完打烊,最正宗橄欖和牛選項但較遠,https://s521701.gorp.jp/
高松市中心,無煙居酒屋,鳥貴族 香川瓦町店,全品均一價串燒居酒屋,約¥350/品,瓦町2-7-12,瓦町駅 徒歩2分,月-土17:00-翌1:00／日祝16:00-24:00,✅公司政策全席禁煙・2025/7開幕香川第一家,https://news.yahoo.co.jp/articles/e4f2f69d0db687150306d8dc14b5899990737e24
丸亀城,咖啡輕食,Starbucks Coffee 丸亀マルタス店,標準星巴克飲品輕食,標準星巴克價位,丸亀市民交流活動センターMARUTAS内,城の大手門・堀 徒歩約5分,09:00-21:30,MARUTAS廣場為著名天守合影點,https://store.starbucks.co.jp/detail-2173/
丸亀城,咖啡輕食,キッチン かぷりす,西式午餐套餐（蛋包飯・漢堡排・義大利麵）,¥1400-1500（含湯麵包飲料）,丸亀市土居町2-6-5,丸亀城/MARUTAS 徒歩5-7分,09:00-17:00・午餐10:30起（週三休）,城内本身無任何飲食店，此為最近選項,https://hitosara.com/0031484977/
金刀比羅宮,讃岐うどん,こんぴらうどん 参道店（本店）,醬油うどん・とり天ぶっかけ,¥550-790,参道入口（鳥居附近）,JR琴平駅 徒歩約10分抵達参道口,平日10:00-16:00／週末假日9:00-16:00,登785石段前用餐首選・古蹟建築,https://www.hotpepper.jp/strJ001067198/
金刀比羅宮,讃岐うどん,中野うどん学校 琴平校,うどん餐廳＋手打ち体験教室,標準うどん價位,参道口附近,JR琴平駅 徒歩約10分,8:30-17:30（体験9:00-15:00）・無公休,可順便體驗做うどん,https://nakanoya.net/nakanoudon
金刀比羅宮,讃岐うどん,虎屋（虎屋うどん）,粗麺・辛口だし・限定肉うどん(30食/日),標準うどん價位,参道階梯入口附近,JR琴平駅 徒歩約10分,9:00-16:00・無公休,限定肉うどん售完為止,https://tabelog.com/en/kagawa/A3703/A370302/37012889
金刀比羅宮,甜點,灸まん本舗 石段や,灸まん（豆沙饅頭）,¥90/個・茶+菓子套餐¥400,参道基部,JR琴平駅 徒歩約10分,7:30-17:30・無公休,可坐榻榻米休息，爬階梯必經,https://www.hotpepper.jp/strJ000874717/
金刀比羅宮,零食攤,五人百姓,加美代飴（柚子風味麥芽糖）,零食價位,参道約365段（大門過後）,階梯中段,白天營業,鎌倉時代起僅存的5家参道攤販・非正餐,https://rurubu.jp/andmore/article/4553
大歩危・かずら橋,郷土料理,お食事処 かずら橋亭,祖谷そば・定食・でこまわし・あめご串焼,¥800-1500,かずら橋夢舞台内,巴士下車即到（同棟設施）,11:00-15:00（設施9:00-18:00,冬季至17:00）,行程12:10-14:00空檔剛好對上，零移動,https://satomono.jp/restaurant/36208/31917/
大歩危・かずら橋,郷土料理,祖谷美人,祖谷そば・可眺望祖谷渓露台席,標準そば價位,琵琶の滝周辺,かずら橋徒歩10-15分（有一定距離）,詳細未確認,選配選項・非首選（吃緊行程不建議繞）,https://rurubu.jp/andmore/spot/80035674
小豆島(土庄港),輕食,土庄港観光センター 軽食コーナー,手延べそうめん・うどん・オリーブ豚バーグ丼,¥500-1000,土庄港フェリーターミナル内,港内・零移動,全年營業,早晚兩個時段皆可用，無需離開港區,https://shodoshima.or.jp/sightseeing/detail.php?id=425&c=3
小豆島(土庄港),拉麵,小豆島ラーメンひしお,在地醬油拉麵,¥800-1000,迷路のまち周辺,土庄港 徒歩10-15分,詳細未確認,僅適合16:15-17:30較長回程時段,https://food.onarimon.jp/entry/2025/06/09/193442
小豆島(土庄港),多國料理,kamos,島食材披薩,¥1000-1500,迷路のまち周辺,土庄港 徒歩10-15分,詳細未確認,僅適合較長回程時段,
小豆島(土庄港),食堂,ひよこ食堂,蛋包飯・豬排丼・うどん定食,¥700-1200,迷路のまち周辺,土庄港 徒歩10-15分,詳細未確認,老式食堂・僅適合較長回程時段,
小豆島(寒霞渓山頂),郷土料理,レストラン楓,オリーブ牛可樂餅漢堡・オリーブラーメン,¥750-1400,ロープウェイ山頂駅内,山頂駅 徒歩0分,飲料9:00-16:00／午餐10:30-14:30,巴士團自由午餐時段首選，零移動,https://www.town.shodoshima.lg.jp/kanko/eat/taberu/lunch/2028.html
栗林公園,茶點,掬月亭,抹茶+季節和菓子（僅茶點非正餐）,¥700(大人)/¥500(小孩),日暹湖畔（園内）,園内,9:00-16:30（最終入店16:00）,確認僅提供茶點，非正餐場所,https://www.my-kagawa.jp/ritsuringarden/feature/ritsuringarden/foods
栗林公園,日式料理,花園亭,松花堂弁当・たらいうどん定食,標準弁当價位,北湖畔（園内）,園内,8:00-18:00（晩餐至21:00需預約）,建議先預約,https://hanazonotei.com/
栗林公園,義式料理,Garden Café Ritsurin,香川食材義式料理,標準義式簡餐價位,商工奨励館内（園内）,園内,10:00-16:00（週一休）,2025/9新開幕,
栗林公園,讃岐うどん,上原屋本店,自助式讃岐うどん,平價,東門周辺,栗林公園駅 徒歩約10分,約9:30-14:30（週日休）,道地自助式うどん人氣店,https://retty.me/area/PRE37/ARE146/SUB14601/100000735410/
栗林公園,讃岐うどん,誠うどん,老式平價讃岐うどん,平價,東門周辺,JR栗林公園北口駅 徒歩5分,詳細未確認,老字號,https://www.jalan.net/gourmet/sta_008402/g2_3g044/
